,city-cn,lat,lng
136,Bloemfontein-South Africa,-29.12,26.2299
137,Cape Town-South Africa,-33.92,18.435
138,Zambezi-Zambia,-13.54,23.1099
139,Solwezi-Zambia,-12.1796,26.4
140,Lusaka-Zambia,-15.4166,28.2833
141,Kaoma-Zambia,-14.7796,24.8
142,Chipata-Zambia,-13.6296,32.64
143,Senanga-Zambia,-16.1196,23.27
144,Sesheke-Zambia,-17.4695,24.3
145,Chililabombwe-Zambia,-12.3696,27.82
146,Chingola-Zambia,-12.5396,27.85
147,Kasempa-Zambia,-13.4596,25.82
148,Kitwe-Zambia,-12.81,28.22
149,Mufulira-Zambia,-12.55,28.26
150,Nchelenge-Zambia,-9.3496,28.73
151,Mazabuka-Zambia,-15.86,27.76
152,Lukulu-Zambia,-14.3896,23.24
153,Kafue-Zambia,-15.78,28.18
154,Lundazi-Zambia,-12.2895,33.17
155,Mansa-Zambia,-11.2,28.89
156,Mwinilunga-Zambia,-11.7396,24.44
157,Mumbwa-Zambia,-14.9796,27.07
158,Kalabo-Zambia,-14.9896,22.68
159,Nyimba-Zambia,-14.5495,30.81
160,Kapiri Mposhi-Zambia,-13.9696,28.66
161,Kabwe-Zambia,-14.44,28.45
162,Ndola-Zambia,-12.9999,28.65
163,Kasama-Zambia,-10.1996,31.1799
164,Mbala-Zambia,-8.84,31.37
165,Kawambwa-Zambia,-9.7795,29.08
166,Luanshya-Zambia,-13.1333,28.4
167,Mongu-Zambia,-15.2796,23.12
168,Mpika-Zambia,-11.83,31.46
169,Chinsali-Zambia,-10.5496,32.06
170,Livingstone-Zambia,-17.86,25.86
171,Choma-Zambia,-16.8095,26.97
172,Plumtree-Zimbabwe,-20.4795,27.82
173,Kariba-Zimbabwe,-16.5296,28.8
174,Hwange-Zimbabwe,-18.37,26.5
175,Chiredzi-Zimbabwe,-21.0496,31.66
176,Mazowe-Zimbabwe,-17.5196,30.97
177,Zvishavane-Zimbabwe,-20.3296,30.05
178,Shamva-Zimbabwe,-17.3196,31.57
179,Harare-Zimbabwe,-17.8178,31.0447
180,Kwekwe-Zimbabwe,-18.9296,29.8
181,Kadoma-Zimbabwe,-18.33,29.9099
182,Beitbridge-Zimbabwe,-22.2096,29.99
183,Karoi-Zimbabwe,-16.8196,29.68
184,Victoria Falls-Zimbabwe,-17.9296,25.84
185,Chitungwiza-Zimbabwe,-18.0,31.1
186,Bindura-Zimbabwe,-17.3019,31.3306
187,Lupane-Zimbabwe,-18.9315,27.807
188,Marondera-Zimbabwe,-18.1853,31.5519
189,Masvingo-Zimbabwe,-20.0596,30.82
190,Mutare-Zimbabwe,-18.97,32.65
191,Bulawayo-Zimbabwe,-20.17,28.58
192,Chinhoyi-Zimbabwe,-17.3596,30.18
193,Gwanda-Zimbabwe,-20.9396,29.01
194,Gweru-Zimbabwe,-19.45,29.82
195,Maqat-Kazakhstan,47.6482,53.3265
196,Zhangaozen-Kazakhstan,43.3004,52.8
197,Taraz-Kazakhstan,42.9,71.365
198,Oral-Kazakhstan,51.2711,51.335
199,Balqash-Kazakhstan,46.8532,74.9502
200,Zaysan-Kazakhstan,47.4752,84.8598
201,Oytal-Kazakhstan,42.9153,73.2549
202,Zholymbet-Kazakhstan,51.7502,71.7099
203,Serebryansk-Kazakhstan,49.6999,83.4249
204,Chapaev-Kazakhstan,50.1915,51.1449
205,Ridder-Kazakhstan,50.3554,83.5149
206,Zhaltyr-Kazakhstan,51.6324,69.8328
207,Atbasar-Kazakhstan,51.8219,68.3477
208,Aqsay-Kazakhstan,51.1714,53.0349
209,Shemonaikha-Kazakhstan,50.6316,81.905
210,Atasu-Kazakhstan,48.6903,71.6499
211,Rudny-Kazakhstan,52.9527,63.13
212,Makhambet-Kazakhstan,47.6714,51.5798
213,Fort Shevchenko-Kazakhstan,44.5171,50.2666
214,Qusmuryn-Kazakhstan,52.458,64.6
215,Oktyabrsk-Kazakhstan,49.4731,57.4449
216,Khromtau-Kazakhstan,50.2699,58.45
