location_1 lat_1 lng_1 location_2 lat_2 lng_2_dist_km latency_ms
MOSCOW-NA-RU 55.7500 37.6167 FRANKFURT-HE-DE 50.1167 8.68332020.61 32.33
MOSCOW-NA-RU 55.7500 37.6167 NUREMBURG-BV-DE 49.4500 11.08331909.41 30.55
TBILISI-NA-GE 41.7167 44.7833 KIEV-NA-UK 50.4500 30.50001464.03 23.42
TBILISI-NA-GE 41.7167 44.7833 ANKARA-NA-TR 40.0000 33.00001008.34 16.13
TBILISI-NA-GE 41.7167 44.7833 SKOPJE-NA-MK 42.0000 21.43331928.03 30.85
TBILISI-NA-GE 41.7167 44.7833 HELSINKI-NA-FI 60.1667 24.93332457.27 39.32
TBILISI-NA-GE 41.7167 44.7833 MANNHEIM-BW-DE 49.4889 8.46922922.22 46.76
TBILISI-NA-GE 41.7167 44.7833 SINGAPORE-NA-SG 1.2833 103.83337394.83 118.32
TBILISI-NA-GE 41.7167 44.7833 ASHBURN-VA-US 39.0436 -77.48759307.63 148.92
TBILISI-NA-GE 41.7167 44.7833 FRANKFURT-HE-DE 50.1167 8.68332911.72 46.59
TBILISI-NA-GE 41.7167 44.7833 NUREMBURG-BV-DE 49.4500 11.08332733.54 43.74
KIEV-NA-UK 50.4500 30.5000 ANKARA-NA-TR 40.0000 33.00001178.18 18.85
KIEV-NA-UK 50.4500 30.5000 SKOPJE-NA-MK 42.0000 21.43331168.34 18.69
KIEV-NA-UK 50.4500 30.5000 HELSINKI-NA-FI 60.1667 24.93331135.45 18.17
KIEV-NA-UK 50.4500 30.5000 MANNHEIM-BW-DE 49.4889 8.46921573.47 25.18
KIEV-NA-UK 50.4500 30.5000 SINGAPORE-NA-SG 1.2833 103.83338725.69 139.61
KIEV-NA-UK 50.4500 30.5000 ASHBURN-VA-US 39.0436 -77.48757844.79 125.52
KIEV-NA-UK 50.4500 30.5000 FRANKFURT-HE-DE 50.1167 8.68331545.00 24.72
KIEV-NA-UK 50.4500 30.5000 NUREMBURG-BV-DE 49.4500 11.08331389.70 22.24
ANKARA-NA-TR 40.0000 33.0000 SKOPJE-NA-MK 42.0000 21.4333994.97 15.92
ANKARA-NA-TR 40.0000 33.0000 HELSINKI-NA-FI 60.1667 24.93332311.11 36.98
ANKARA-NA-TR 40.0000 33.0000 MANNHEIM-BW-DE 49.4889 8.46922191.84 35.07
ANKARA-NA-TR 40.0000 33.0000 SINGAPORE-NA-SG 1.2833 103.83338293.27 132.69
ANKARA-NA-TR 40.0000 33.0000 ASHBURN-VA-US 39.0436 -77.48758746.39 139.94
ANKARA-NA-TR 40.0000 33.0000 FRANKFURT-HE-DE 50.1167 8.68332201.79 35.23
ANKARA-NA-TR 40.0000 33.0000 NUREMBURG-BV-DE 49.4500 11.08332014.25 32.23
SKOPJE-NA-MK 42.0000 21.4333 HELSINKI-NA-FI 60.1667 24.93332034.08 32.55
SKOPJE-NA-MK 42.0000 21.4333 MANNHEIM-BW-DE 49.4889 8.46921302.79 20.84
SKOPJE-NA-MK 42.0000 21.4333 SINGAPORE-NA-SG 1.2833 103.83339284.49 148.55
SKOPJE-NA-MK 42.0000 21.4333 ASHBURN-VA-US 39.0436 -77.48757851.51 125.62
SKOPJE-NA-MK 42.0000 21.4333 FRANKFURT-HE-DE 50.1167 8.68331331.73 21.31
SKOPJE-NA-MK 42.0000 21.4333 NUREMBURG-BV-DE 49.4500 11.08331151.98 18.43
HELSINKI-NA-FI 60.1667 24.9333 MANNHEIM-BW-DE 49.4889 8.46921579.26 25.27
HELSINKI-NA-FI 60.1667 24.9333 SINGAPORE-NA-SG 1.2833 103.83339272.10 148.35
HELSINKI-NA-FI 60.1667 24.9333 ASHBURN-VA-US 39.0436 -77.48756938.33 111.01
HELSINKI-NA-FI 60.1667 24.9333 FRANKFURT-HE-DE 50.1167 8.68331513.58 24.22
HELSINKI-NA-FI 60.1667 24.9333 NUREMBURG-BV-DE 49.4500 11.08331479.54 23.67
MANNHEIM-BW-DE 49.4889 8.4692 SINGAPORE-NA-SG 1.2833 103.833310285.95 164.58
MANNHEIM-BW-DE 49.4889 8.4692 ASHBURN-VA-US 39.0436 -77.48756564.62 105.03
MANNHEIM-BW-DE 49.4889 8.4692 FRANKFURT-HE-DE 50.1167 8.683371.48 1.14
MANNHEIM-BW-DE 49.4889 8.4692 NUREMBURG-BV-DE 49.4500 11.0833188.94 3.02
SINGAPORE-NA-SG 1.2833 103.8333 ASHBURN-VA-US 39.0436 -77.487515528.90 248.46
SINGAPORE-NA-SG 1.2833 103.8333 FRANKFURT-HE-DE 50.1167 8.683310264.74 164.24
SINGAPORE-NA-SG 1.2833 103.8333 NUREMBURG-BV-DE 49.4500 11.083310097.80 161.56
ASHBURN-VA-US 39.0436 -77.4875 FRANKFURT-HE-DE 50.1167 8.68336548.72 104.78
ASHBURN-VA-US 39.0436 -77.4875 NUREMBURG-BV-DE 49.4500 11.08336736.07 107.78
FRANKFURT-HE-DE 50.1167 8.6833 NUREMBURG-BV-DE 49.4500 11.0833187.57 3.00
